field1,field2,field3,entity,class,taxonSpecific,constrainedValues,family,examples,description
model,algorithm,gam,smooth terms,character vector,optional,thin-plate spline (tp); thin-plate spline with shrinkage (ts); Duchon spline (ds); cubic regression spline (cr); cubic regression spline with shrinkage (cs); cyclic cubic regression spline (cc); spline on the sphere (sos); P-spline (ps); cyclic P-spline (cs); random effect spline (re); markov random fields (mrf); gaussian process (gp); soap film(so),gam,"~s(bio1, k=10, bs = ""tp"") + s(month, bs = ""cc"")",Type of smoothing spline used (mgcv package).
model,algorithm,gam,weights,character vector,optional,NULL,gam,NULL,"Prior weights on the contribution of the data to the log likelihood. Note that a weight of 2, for example, is equivalent to having made exactly the same observation twice."
model,algorithm,gam,offset,character vector,optional,NULL,gam,NULL,"Can be used to supply a model offset for use in fitting. Note that this offset will always be completely ignored when predicting, unlike an offset included in formula."
model,algorithm,gam,method,character vector,no,generalised cross validation (GCV); restricted maximum likelihood (REML); maximum likelihood (ML),gam,NULL,Smoothing parameter estimation method.
model,algorithm,gam,select,character vector,no,TRUE; FALSE,,,Shrinkage penalty. If this is TRUE then gam can add an extra penalty to each term so that it can be penalized to zero. This means that the smoothing parameter estimation that is part of fitting can completely remove terms from the model.
model,algorithm,gam,notes,character vector,optional,NULL,gam,NULL,User specified
model,algorithm,fda,formula,character vector,,,fda,~ 1 + bio3 + bio7 + bio11 + bio12,
model,algorithm,fda,method,character vector,,,fda,method=mars,Non-parametric functions such as MARS and BRUTO
model,algorithm,randomForest,ntree,numeric vector,optional,,randomForest,500,number of trees
model,algorithm,randomForest,mtry,numeric vector,optional,,randomForest,3,number of variables randomly sampled as candidates in each split
model,algorithm,randomForest,maxnodes,numeric vector,optional,,randomForest,4,maximum number of nodes per tree
model,algorithm,randomForest,try,logical,optional,,randomForest,TRUE,should sampling of cases be done with or without replacement
model,algorithm,randomForest,notes,character vector,optional,NULL,randomForest,NULL,User specified
model,algorithm,rangeBagging,votes,numeric vector,optional,NULL,rangeBagging,100,Number of replicates
model,algorithm,rangeBagging,nDimensions,numeric vector,optional,NULL,rangeBagging,2,Number of environmental dimensions sampled in each replicate
model,algorithm,rangeBagging,proportionSubset,numeric vector,optional,NULL,rangeBagging,0.5,Proportion of presences sampled during each replicate
model,algorithm,rangeBagging,notes,character vector,optional,NULL,rangeBagging,NULL,User specified
model,algorithm,occupancy,formula,character vector,optional,NULL,occupancy,~bio1 + I(bio1)^2 +bio4 + (bio4)^2+bio1*bio4,Specify the formula used for occurrence either as you would in the software used or in plain text
model,algorithm,occupancy,observationFormula,character vector,optional,NULL,occupancy,~humanPopulationDensity,Specify the formula used for observation either as you would in the software used or in plain text
model,algorithm,occupancy,notes,character vector,optional,NULL,occupancy,NULL,User specified
model,,,references,character vector,no,NULL,base,"@article{Merow:2013eq,author = {Merow, Cory  and Smith, Matthew J and Silander, John A},title = {{A practical guide to MaxEnt for modeling species{\textquoteright} distributions: what it does, and why inputs and settings matter}},journal = {Ecography},yea",bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified.
model,performance,,metrics,character vector,,"AUC,TSS",ODMAP,,
model,ensemble,,algorithms,,,,ODMAP,,
model,ensemble,,ensembleRule,character vector,optional,NULL,ensemble,Models weighted by AUC scores on test data;,Describe rules used for weighting models in the ensemble
model,justification,,performanceMetrics,character vector,,NULL,ODMAP,We used a variety of metrics to avoid placing too much emphasis on any single metric to gain an overall picuter of model performance.,Free form 
model,justification,,modelComplexity,character vector,,NULL,ODMAP,,
model,justification,,,character vector,,NULL,ODMAP,,
model,justification,,,character vector,,NULL,ODMAP,,
prediction,continuous,,units,character,no,absolute probability; relative occurrence rate; other;,prediction,absolute probability;  relative occurrence rate; number of individuals; biomass (kg); biomass (g),A description of the meaning and units of the prediction.
prediction,continuous,,minVal,numeric vector,yes,NULL,prediction,0.001,Minimum predicted value in study region.
prediction,continuous,,maxVal,numeric vector,yes,NULL,prediction,0.97,Maximum predicted value in study region.
prediction,binary,,thresholdSet,numeric vector,yes,NULL,base,0.34,"Threshold value of predicted occurrence probability used to distinguish presence from absence for binary classification (e.g., truePositiveRate, falseNegativeRate)"
prediction,binary,,thresholdRule,numeric vector,optional,1% quantile of training presences; 5% quantile of training presences; 10% quantile of training presences; max (sensitivity + specificity); other,base,5% quantile of training presences,"Rule for obtaining a threshold value of predicted occurrence probability used to distinguish presence from absence for binary classification (e.g., truePositiveRate, falseNegativeRate)"
prediction,,,notes,character vector,optional,NULL,prediction,NULL,User specified
prediction,,,extrapolation,character,no,clamping; extrapolate function; other;,base,clamping; extrapolate function,"In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data. "
prediction,transfer,environment1,units,character,no,absolute probability;  relative occurrence rate; other;,transferEnv1,absolute probability;  relative occurrence rate; presence/absence,"The units of the prediction, e.g., absolute probability (occupancy), relative probobility (relative occurrence rate), abdunance, relative abundance, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
prediction,transfer,environment1,minVal,numeric vector,optional,NULL,transferEnv1,0.001,"Supply a vector of minimum values all taxa predictions. For example, the first element is the minimum predicted value for taxon 1, the second element is the minimum predicted value for taxon 2, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
prediction,transfer,environment1,maxVal,numeric vector,optional,NULL,transferEnv1,0.97,"Supply a vector of maximum values for all taxa predictions. For example, the first element is the maximum predicted value for taxon 1, the second element is the maximum predicted value for taxon 2, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
prediction,transfer,environment1,thresholdSet,numeric vector,optional,NULL,transferEnv1,0.34,only if binary/trinary. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity.
prediction,transfer,environment1,thresholdRule,numeric vector,no,NULL,transferEnv1,5% quantile of training presences,only if binary/trinary. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity.
prediction,transfer,environment1,extrapolation,character,no,clamping; extrapolate function; other;,base,clamping; extrapolate function,"In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data. "
prediction,transfer,environment1,notes,character vector,optional,NULL,transferEnv1,NULL,User specified. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity.
prediction,transfer,,notes,character vector,optional,NULL,base,NULL,User specified
prediction,transfer,,extrapolation,character,no,clamping; extrapolate function; other;,NULL,clamping; extrapolate function,"In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data. "
prediction,uncertainty,,units,character,no,NULL,base,absolute probability; relative probability,Units of values on uncertainty map
prediction,uncertainty,,minVal,numeric vector,yes,NULL,base,0.001,Minimum predicted value in study region.
prediction,uncertainty,,maxVal,numeric vector,yes,NULL,base,0.14,Maximum predicted value in study region.
prediction,uncertainty,,algorithmic,character,,,ODMAP,,"User specified; across multiple model fitting algorithms, how were differences among algorithms handled."
prediction,uncertainty,,parameter,character,,,ODMAP,,User specified
prediction,uncertainty,,scenario,character,,,ODMAP,,User specified
prediction,uncertainty,,inputData,character,,,ODMAP,,User specified
prediction,uncertainty,,extrapolation,character,,,ODMAP,,User specified
prediction,uncertainty,,notes,character vector,optional,NULL,base,NULL,User specified
assessment,trainingDataStats,,AUC,numeric vector,yes,NULL,binaryClassification,0.923,Area Under the Curve (ROC curve); See R function ROCR::performance.
assessment,trainingDataStats,,pearsonCor,numeric vector,yes,NULL,binaryClassification,0.914,Pearson's correlation coefficient; See R function ROCR::performance.
assessment,trainingDataStats,,cohensKappa,numeric vector,yes,NULL,binaryClassification,0.842,Cohen's kappa statistic; See R function ROCR::performance.
assessment,trainingDataStats,,trueSkillStatistic,numeric vector,yes,NULL,binaryClassification,0.825,See R function ROCR::performance
assessment,trainingDataStats,,truePositiveRate,numeric vector,yes,NULL,binaryClassification,0.95,See R function ROCR::performance
assessment,trainingDataStats,,trueNegativeRate,numeric vector,yes,NULL,binaryClassification,0.7,See R function ROCR::performance
assessment,trainingDataStats,,falsePositiveRate,numeric vector,yes,NULL,binaryClassification,0.3,See R function ROCR::performance
assessment,trainingDataStats,,falseNegativeRate,numeric vector,yes,NULL,binaryClassification,0.05,See R function ROCR::performance
assessment,trainingDataStats,,boyce,numeric vector,yes,NULL,binaryClassification,0.874,Boyce index; See R package ecospat
assessment,trainingDataStats,,pAUC,numeric vector,yes,NULL,binaryClassification,0.843,See R package pAUC
assessment,trainingDataStats,,pAUCLoThreshold,numeric vector,yes,NULL,binaryClassification,0.211,NOT USED YET
assessment,trainingDataStats,,pAUCHiThreshold,numeric vector,yes,NULL,binaryClassification,0.564,NOT USED YET
assessment,trainingDataStats,,AIC,numeric vector,yes,NULL,NULL,34.2,Akaike Information Criterion
assessment,trainingDataStats,,BIC,numeric vector,yes,NULL,NULL,27.4,Bayesian Information Criterion
assessment,trainingDataStats,,DIC,numeric vector,yes,NULL,NULL,19.6,Deviance Information Criterion
assessment,testingDataStats,,AUC,numeric vector,yes,NULL,binaryClassification,0.923,Area Under the Curve (ROC curve); See R function ROCR::performance.
assessment,testingDataStats,,AUCDiff,numeric vector,yes,NULL,binaryClassification,0.001,Absolute difference between AUCtrain and AUCtest
assessment,testingDataStats,,pearsonCor,numeric vector,yes,NULL,binaryClassification,0.914,Pearson's correlation coefficient; See R function ROCR::performance.
assessment,testingDataStats,,cohensKappa,numeric vector,yes,NULL,binaryClassification,0.842,Cohen's kappa statistic; See R function ROCR::performance.
assessment,testingDataStats,,trueSkillStatistic,numeric vector,yes,NULL,binaryClassification,0.825,See R function ROCR::performance
assessment,testingDataStats,,truePositiveRate,numeric vector,yes,NULL,binaryClassification,0.95,See R function ROCR::performance
assessment,testingDataStats,,trueNegativeRate,numeric vector,yes,NULL,binaryClassification,0.7,See R function ROCR::performance
assessment,testingDataStats,,falsePositiveRate,numeric vector,yes,NULL,binaryClassification,0.3,See R function ROCR::performance
assessment,testingDataStats,,falseNegativeRate,numeric vector,yes,NULL,binaryClassification,0.05,See R function ROCR::performance
assessment,testingDataStats,,boyce,numeric vector,yes,NULL,binaryClassification,0.874,Boyce index; See R package ecospat
assessment,testingDataStats,,omissionRate,numeric vector,yes,NULL,binaryClassification,0.125,Omission rate of occurrence points on test data
assessment,testingDataStats,,notes,character vector,yes,NULL,binaryClassification,threshold set to minimum training presence,"Used to state thresholds for threshold-dependent evaluation metrics, etc."
assessment,evaluationDataStats,,AUC,numeric vector,yes,NULL,binaryClassification,0.923,Area Under the Curve (ROC curve); See R function ROCR::performance.
assessment,evaluationDataStats,,pearsonCor,numeric vector,yes,NULL,binaryClassification,0.914,Pearson's correlation coefficient; See R function ROCR::performance.
assessment,evaluationDataStats,,cohensKappa,numeric vector,yes,NULL,binaryClassification,0.842,Cohen's kappa statistic; See R function ROCR::performance.
assessment,evaluationDataStats,,trueSkillStatistic,numeric vector,yes,NULL,binaryClassification,0.825,See R function ROCR::performance
assessment,evaluationDataStats,,truePositiveRate,numeric vector,yes,NULL,binaryClassification,0.95,See R function ROCR::performance
assessment,evaluationDataStats,,trueNegativeRate,numeric vector,yes,NULL,binaryClassification,0.7,See R function ROCR::performance
assessment,evaluationDataStats,,falsePositiveRate,numeric vector,yes,NULL,binaryClassification,0.3,See R function ROCR::performance
assessment,evaluationDataStats,,falseNegativeRate,numeric vector,yes,NULL,binaryClassification,0.05,See R function ROCR::performance
assessment,evaluationDataStats,,boyce,numeric vector,yes,NULL,binaryClassification,0.874,Boyce index; See R package ecospat
assessment,trainingDataStats,,metrics,character vector,no,,ODMAP,,
assessment,testingDataStats,,metrics,character vector,no,,ODMAP,,
assessment,evaluationDataStats,,metrics,character vector,no,,ODMAP,,
assessment,,,expertJudgement,character,no,,ODMAP,,
assessment,,,responseCurves,character vector,no,"partial response plot, evaluation strip, inflated response","ODMAP
",,Methods used to visulaize response plots
assessment,,,references,character vector,no,NULL,base,"@article{Liu:2010cq, author = {Liu, Canran and White, Matt and Newell, Graeme},title = {{Measuring and comparing the accuracy of species distribution models with presence-absence data}},year = {2010},volume = {34},number = {2},pages = {232--243}}",bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified.
assessment,,,notes,character vector,optional,NULL,base,NULL,User specified
code,wallace,,occsNum,numeric,yes,NULL,wallace,NULL,Internal use only in Wallace. Note that this may differ from data:occurrence:pesenceSampleSize because users may subset the presence points in Wallace.
code,wallace,,userCSV,character,yes,NULL,wallace,NULL,Internal use only in Wallace.
code,wallace,,removedIDs,numeric vector,yes,NULL,wallace,NULL,Internal use only in Wallace.
code,wallace,,occsCellPolyCoords,numeric vector,yes,NULL,wallace,NULL,Internal use only in Wallace.
code,wallace,,userBgExt,character,yes,NULL,wallace,NULL,Internal use only in Wallace.
code,wallace,,userBgPath,character,yes,NULL,wallace,NULL,Internal use only in Wallace.
code,wallace,,userBgShpParams,character,yes,NULL,wallace,NULL,Internal use only in Wallace.
code,wallace,,maxentEvalPlotCell,character,yes,NULL,wallace,NULL,Internal use only in Wallace.
code,wallace,,bcPlotSettings,character,yes,NULL,wallace,NULL,Internal use only in Wallace.
code,software,,platform,character vector,no,NULL,base,"@Manual{title = {R: A Language and Environment for Statistical Computing},author = {{R Core Team}},organization = {R Foundation for Statistical Computing},address = {Vienna, Austria},year = {2017},url = {https://www.R-project.org/},}",bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified.
code,software,,packages,character vector,no,NULL,base,"@Manual{title = {dismo: Species Distribution Modeling},author = {Robert J. Hijmans and Steven Phillips and John Leathwick and Jane Elith},year = {2017}, note = {R package version 1.1-4},url = {https://CRAN.R-project.org/package=dismo},}",bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified.
code,,,demoCodeLink,character,optional,NULL,base,https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples,A permanent link to a website that contains simplified examples of the analysis.
code,,,vignetteCodeLink,character,optional,NULL,base,https://cran.r-project.org/web/packages/bossMaps/vignettes/bossMaps.html,A permanent link to an R-style vignette.
code,,,fullCodeLink,character,optional,NULL,base,https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples,A permanent link to a website that contains complete code for the analysis.
code,,,demoDataLink,character,optional,NULL,base,https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples,A permanent link to a website that contains simplified examples of the analysis.
code,,,vignetteDataLink,character,optional,NULL,base,https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples,A permanent link to a website that contains data needed for demo code.
code,,,fullDataLink,character,optional,NULL,base,https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples,A permanent link to a website that contains data needed for vignettes code.
code,,,codeNotes,character,no,NULL,base,https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples,A permanent link to a website that contains data needed for full code.
